order_status_id,status
1,Failed
2,Processing
3,Confirmed
4,Delivered
5,Shipped
6,Processing
7,Canceled
8,Out for Delivery
9,Delivered
10,Refunded
11,Delivered
12,Confirmed
13,Shipped
14,Refunded
15,Canceled
16,Confirmed
17,Confirmed
18,Refunded
19,Pending
20,Processing
21,Confirmed
22,Failed
23,Canceled
24,Failed
25,Confirmed
26,Returned
27,Returned
28,Shipped
29,Pending
30,Pending
31,Failed
32,Shipped
33,Confirmed
34,Delivered
35,Failed
36,Confirmed
37,Processing
38,Returned
39,Refunded
40,Confirmed
41,Refunded
42,Canceled
43,Failed
44,Shipped
45,Delivered
46,Refunded
47,Processing
48,Shipped
49,Failed
50,Canceled
51,Shipped
52,Returned
53,Returned
54,Failed
55,Failed
56,Out for Delivery
57,Out for Delivery
58,Processing
59,Returned
60,Refunded
61,Out for Delivery
62,Returned
63,Returned
64,Failed
65,Processing
66,Delivered
67,Refunded
68,Delivered
69,Confirmed
70,Returned
71,Refunded
72,Canceled
73,Pending
74,Failed
75,Processing
76,Out for Delivery
77,Failed
78,Delivered
79,Failed
80,Confirmed
81,Canceled
82,Returned
83,Delivered
84,Out for Delivery
85,Out for Delivery
86,Shipped
87,Processing
88,Delivered
89,Pending
90,Confirmed
91,Shipped
92,Pending
93,Failed
94,Refunded
95,Processing
96,Out for Delivery
97,Delivered
98,Refunded
99,Failed
100,Failed
101,Canceled
102,Out for Delivery
103,Delivered
104,Confirmed
105,Delivered
106,Processing
107,Confirmed
108,Processing
109,Failed
110,Refunded
111,Failed
112,Shipped
113,Processing
114,Returned
115,Confirmed
116,Out for Delivery
117,Failed
118,Returned
119,Out for Delivery
120,Out for Delivery
121,Confirmed
122,Failed
123,Shipped
124,Shipped
125,Processing
126,Processing
127,Pending
128,Delivered
129,Canceled
130,Delivered
131,Canceled
132,Shipped
133,Returned
134,Delivered
135,Canceled
136,Returned
137,Refunded
138,Canceled
139,Confirmed
140,Pending
141,Returned
142,Canceled
143,Delivered
144,Out for Delivery
145,Pending
146,Processing
147,Confirmed
148,Canceled
149,Returned
150,Canceled
151,Pending
152,Confirmed
153,Returned
154,Canceled
155,Confirmed
156,Shipped
157,Failed
158,Out for Delivery
159,Failed
160,Refunded
161,Refunded
162,Delivered
163,Processing
164,Refunded
165,Pending
166,Returned
167,Delivered
168,Shipped
169,Confirmed
170,Failed
171,Refunded
172,Returned
173,Shipped
174,Confirmed
175,Pending
176,Confirmed
177,Pending
178,Shipped
179,Shipped
180,Shipped
181,Returned
182,Delivered
183,Processing
184,Processing
185,Pending
186,Failed
187,Failed
188,Confirmed
189,Failed
190,Out for Delivery
191,Shipped
192,Refunded
193,Confirmed
194,Shipped
195,Pending
196,Canceled
197,Refunded
198,Processing
199,Pending
200,Delivered
201,Pending
202,Shipped
203,Pending
